,age,workclass,fnlwgt,education,education.num,marital.status,occupation_category,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
19274,young adult,Private,184026,Some-college,10,Never-married,White Collar,Prof-specialty,Not-in-family,Other,Male,0,0,50,United-States,0
19275,young adult,?,335427,Bachelors,13,Married-civ-spouse,,Other,Wife,White,Female,0,0,20,United-States,1
19276,young adult,Private,372692,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
19277,young adult,Private,45607,Some-college,10,Never-married,Service,Other-service,Own-child,White,Female,0,0,40,United-States,0
19278,young adult,Self-emp-not-inc,212895,Some-college,10,Divorced,Blue Collar,Machine-op-inspct,Not-in-family,White,Male,0,0,48,United-States,0
19279,adult,Private,147989,HS-grad,9,Married-civ-spouse,Blue Collar,Transport-moving,Husband,White,Male,0,0,40,United-States,1
19280,adult,Private,145290,HS-grad,9,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,0
19281,young adult,Private,132601,HS-grad,9,Never-married,Service,Other-service,Own-child,White,Male,0,0,40,United-States,0
19282,adult,Self-emp-not-inc,30759,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,35,United-States,0
19283,young,Private,319889,HS-grad,9,Never-married,Service,Other-service,Own-child,White,Male,0,0,25,United-States,0
19284,late adulthood,Private,29431,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,50,United-States,0
19285,adult,Private,111483,HS-grad,9,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,0
19286,young adult,Private,184756,Some-college,10,Never-married,Service,Sales,Own-child,White,Female,0,0,30,United-States,0
19287,young adult,Private,187560,Bachelors,13,Never-married,Service,Sales,Not-in-family,White,Male,0,0,40,United-States,0
19288,young adult,Self-emp-not-inc,84848,HS-grad,9,Separated,Service,Other-service,Not-in-family,White,Female,0,0,16,United-States,0
19289,late adulthood,?,36243,Doctorate,16,Never-married,,Other,Not-in-family,White,Male,0,0,40,United-States,0
19290,adult,State-gov,88913,Assoc-acdm,12,Divorced,White Collar,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,36,United-States,0
19291,young,Private,73190,Some-college,10,Never-married,Blue Collar,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,0
19292,late adulthood,Private,132529,HS-grad,9,Married-civ-spouse,Service,Other-service,Husband,White,Male,0,0,40,United-States,0
19293,young adult,Private,214542,11th,7,Never-married,Blue Collar,Transport-moving,Own-child,White,Male,0,0,40,United-States,0
19294,young adult,Private,217006,11th,7,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
19295,adult,Private,169785,Some-college,10,Never-married,White Collar,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,0
19296,young adult,Private,75573,Bachelors,13,Never-married,White Collar,Exec-managerial,Not-in-family,White,Female,0,0,45,Germany,0
19297,young adult,Private,239171,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,1
19298,adult,Self-emp-not-inc,53566,Doctorate,16,Divorced,White Collar,Exec-managerial,Not-in-family,White,Female,0,0,30,United-States,0
19299,young,Private,117109,Some-college,10,Never-married,White Collar,Adm-clerical,Other-relative,Black,Female,0,0,24,United-States,0
19300,young adult,Private,398019,7th-8th,4,Never-married,Service,Priv-house-serv,Not-in-family,White,Female,0,0,15,Mexico,0
19301,young,Private,114008,HS-grad,9,Never-married,Service,Other-service,Own-child,White,Male,0,0,35,United-States,0
19302,young adult,Private,204653,Some-college,10,Never-married,Blue Collar,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
19303,young adult,Local-gov,254935,Some-college,10,Married-civ-spouse,,Protective-serv,Husband,White,Male,0,0,45,United-States,0
19304,late adulthood,?,84755,Some-college,10,Widowed,,Other,Unmarried,White,Female,0,0,40,United-States,0
19305,adult,Local-gov,198145,Masters,14,Married-civ-spouse,,Protective-serv,Husband,White,Male,0,0,14,United-States,1
19306,young,Private,451951,HS-grad,9,Never-married,Service,Sales,Not-in-family,White,Female,0,0,40,United-States,0
19307,adult,Local-gov,172175,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
19308,young adult,Private,209472,Bachelors,13,Never-married,White Collar,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,0
19309,adult,Private,336707,Assoc-voc,11,Separated,Blue Collar,Craft-repair,Not-in-family,White,Female,0,0,60,United-States,0
19310,young adult,?,431861,10th,6,Separated,,Other,Not-in-family,White,Male,0,0,40,United-States,0
19311,adult,Self-emp-inc,156728,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,55,United-States,0
19312,young adult,Federal-gov,290321,Assoc-voc,11,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,50,United-States,0
19313,adult,State-gov,206577,Some-college,10,Divorced,White Collar,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
19314,young adult,Self-emp-not-inc,149324,Some-college,10,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,7,United-States,0
19315,young adult,?,49593,Some-college,10,Married-civ-spouse,,Other,Wife,Black,Female,0,0,30,United-States,0
19316,young adult,Private,181659,11th,7,Never-married,Blue Collar,Transport-moving,Own-child,White,Male,0,0,50,United-States,0
19317,young adult,Private,174789,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,40,United-States,0
19318,young adult,Private,184801,Bachelors,13,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
19319,young adult,Private,176014,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,50,United-States,0
19320,adult,Private,256861,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,80,United-States,0
19321,young adult,Private,239397,10th,6,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,0
19322,young adult,Private,233777,HS-grad,9,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1
19323,adult,Private,236520,Assoc-voc,11,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,1
19324,adult,Private,70754,Bachelors,13,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
19325,young adult,Private,245378,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,60,United-States,0
19326,young adult,Private,176729,Bachelors,13,Never-married,Blue Collar,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,1
19327,young,Private,517036,HS-grad,9,Divorced,Blue Collar,Craft-repair,Not-in-family,White,Female,0,0,40,El-Salvador,0
19328,young adult,Private,436361,HS-grad,9,Divorced,Service,Other-service,Not-in-family,White,Female,0,0,75,United-States,0
19329,young adult,Private,231037,5th-6th,3,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,40,Mexico,0
19330,late adulthood,Private,209831,Assoc-voc,11,Married-civ-spouse,White Collar,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
19331,adult,?,167381,HS-grad,9,Widowed,,Other,Unmarried,White,Female,0,0,25,United-States,0
19332,adult,Private,215468,Bachelors,13,Separated,Blue Collar,Machine-op-inspct,Unmarried,Black,Female,0,0,7,United-States,0
19333,young adult,Private,200700,Some-college,10,Never-married,Service,Sales,Not-in-family,White,Male,0,0,50,United-States,0
19334,young adult,Local-gov,191777,HS-grad,9,Never-married,,Protective-serv,Own-child,Black,Female,0,0,40,United-States,0
19335,adult,Federal-gov,195437,Assoc-acdm,12,Married-civ-spouse,White Collar,Adm-clerical,Husband,White,Male,0,0,60,United-States,1
19336,young adult,Private,149396,HS-grad,9,Never-married,White Collar,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,0
19337,young adult,Private,104746,Some-college,10,Married-civ-spouse,Blue Collar,Handlers-cleaners,Husband,White,Male,0,0,16,United-States,0
19338,young,Private,108147,Some-college,10,Never-married,White Collar,Adm-clerical,Own-child,White,Female,0,0,15,United-States,0
19339,young adult,Private,238859,Assoc-voc,11,Never-married,Blue Collar,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
19340,adult,State-gov,23157,HS-grad,9,Never-married,Blue Collar,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,0
19341,young adult,Private,497788,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,50,United-States,0
19342,adult,Private,141558,Masters,14,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,60,United-States,0
19343,young adult,Federal-gov,117963,Bachelors,13,Never-married,White Collar,Adm-clerical,Own-child,White,Male,0,0,38,United-States,0
19344,young adult,Private,232356,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
19345,young adult,Private,157941,Bachelors,13,Never-married,White Collar,Tech-support,Not-in-family,White,Male,0,0,40,United-States,0
19346,young adult,Private,103642,11th,7,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
19347,young adult,Private,169727,HS-grad,9,Married-civ-spouse,White Collar,Tech-support,Husband,White,Male,0,0,40,United-States,0
19348,adult,Private,274731,Bachelors,13,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
19349,young adult,Private,161572,HS-grad,9,Married-civ-spouse,Service,Other-service,Wife,White,Female,0,0,45,United-States,0
19350,young adult,Private,48779,Some-college,10,Married-civ-spouse,Blue Collar,Transport-moving,Husband,White,Male,0,0,40,United-States,1
19351,adult,Private,141511,Masters,14,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
19352,young adult,Private,168334,HS-grad,9,Married-civ-spouse,Service,Sales,Wife,White,Female,0,0,30,United-States,0
19353,adult,Local-gov,267252,Masters,14,Separated,White Collar,Exec-managerial,Unmarried,Black,Male,0,0,45,United-States,1
19354,young adult,Self-emp-not-inc,312055,HS-grad,9,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,70,United-States,0
19355,young adult,Private,207937,Some-college,10,Never-married,Blue Collar,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
19356,young adult,Private,232653,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
19357,late adulthood,Private,246841,HS-grad,9,Married-civ-spouse,Blue Collar,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
19358,young adult,Private,154087,HS-grad,9,Married-civ-spouse,Blue Collar,Transport-moving,Husband,White,Male,0,0,40,United-States,0
19359,young,Private,199011,Some-college,10,Never-married,Blue Collar,Handlers-cleaners,Own-child,White,Male,0,0,12,United-States,0
19360,adult,Self-emp-not-inc,205100,Masters,14,Married-civ-spouse,White Collar,Prof-specialty,Wife,White,Female,0,0,30,United-States,1
19361,young adult,Private,50400,Some-college,10,Married-civ-spouse,Service,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
19362,adult,Local-gov,97064,Assoc-voc,11,Divorced,White Collar,Adm-clerical,Unmarried,White,Female,0,0,44,United-States,0
19363,young adult,Private,65038,HS-grad,9,Never-married,Blue Collar,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
19364,young,Private,225211,9th,5,Never-married,Service,Other-service,Own-child,Black,Male,0,0,35,United-States,0
19365,adult,Private,320192,1st-4th,2,Married-civ-spouse,Service,Other-service,Wife,White,Female,0,0,40,United-States,0
19366,young adult,Private,83580,Some-college,10,Never-married,White Collar,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,0,0,4,United-States,0
19367,adult,Private,529216,HS-grad,9,Separated,Blue Collar,Transport-moving,Other-relative,Black,Male,0,0,40,United-States,0
19368,young adult,Private,390817,5th-6th,3,Married-civ-spouse,Blue Collar,Craft-repair,Other-relative,White,Male,0,0,40,Mexico,0
19369,young adult,?,85733,Some-college,10,Never-married,,Other,Own-child,White,Female,0,0,40,United-States,0
19370,adult,Private,155976,HS-grad,9,Widowed,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
19371,adult,Private,221172,Masters,14,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,65,United-States,1
19372,adult,Private,270842,Some-college,10,Divorced,Service,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
19373,young adult,Private,82622,HS-grad,9,Divorced,White Collar,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,0
19374,adult,Private,371064,HS-grad,9,Married-civ-spouse,Blue Collar,Farming-fishing,Husband,White,Male,0,0,20,United-States,0
19375,young adult,Private,22641,HS-grad,9,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,0,0,45,United-States,0
19376,young adult,Private,218957,11th,7,Never-married,Blue Collar,Craft-repair,Own-child,White,Male,0,0,45,United-States,0
19377,adult,Private,441637,HS-grad,9,Married-civ-spouse,White Collar,Tech-support,Husband,White,Male,0,0,40,United-States,0
19378,young adult,Local-gov,143699,Some-college,10,Married-civ-spouse,Service,Other-service,Wife,White,Female,0,0,40,United-States,0
19379,adult,Private,183096,Bachelors,13,Divorced,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,0
19380,adult,Private,97176,11th,7,Divorced,White Collar,Adm-clerical,Unmarried,White,Female,0,0,16,United-States,0
19381,young adult,Private,311376,Bachelors,13,Never-married,White Collar,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
19382,late adulthood,Private,123582,10th,6,Divorced,Service,Other-service,Unmarried,White,Female,0,0,40,United-States,0
19383,young adult,Federal-gov,174215,Bachelors,13,Never-married,White Collar,Exec-managerial,Not-in-family,White,Female,0,0,60,United-States,0
19384,young adult,Private,183902,Bachelors,13,Married-civ-spouse,White Collar,Prof-specialty,Wife,White,Female,0,0,4,United-States,1
19385,adult,Private,247880,HS-grad,9,Never-married,Blue Collar,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
19386,young adult,Private,256636,HS-grad,9,Married-civ-spouse,Blue Collar,Transport-moving,Husband,White,Male,0,0,40,United-States,0
19387,young adult,?,152875,Bachelors,13,Married-civ-spouse,,Other,Wife,Asian-Pac-Islander,Female,0,0,40,China,0
19388,young adult,Private,22422,HS-grad,9,Never-married,Blue Collar,Transport-moving,Unmarried,White,Male,0,0,55,United-States,0
19389,adult,?,178215,Some-college,10,Widowed,,Other,Unmarried,White,Female,0,0,28,United-States,0
19390,adult,Local-gov,194360,HS-grad,9,Married-civ-spouse,Service,Other-service,Wife,White,Female,0,0,7,United-States,1
19391,adult,Private,247187,HS-grad,9,Divorced,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
19392,young adult,Private,63921,HS-grad,9,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
19393,young adult,Private,224889,Bachelors,13,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,40,United-States,0
19394,young adult,Self-emp-not-inc,178564,Bachelors,13,Never-married,White Collar,Prof-specialty,Other-relative,White,Male,0,0,40,United-States,0
19395,adult,Private,47619,Assoc-acdm,12,Divorced,White Collar,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,0
19396,adult,Private,92775,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,60,United-States,1
19397,young adult,Private,50837,Masters,14,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
19398,young,Local-gov,235894,Some-college,10,Never-married,Blue Collar,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0
19399,adult,Private,244974,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,60,United-States,0
19400,young,Local-gov,526734,HS-grad,9,Never-married,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,0
19401,young adult,Self-emp-not-inc,243484,Bachelors,13,Married-civ-spouse,White Collar,Adm-clerical,Wife,White,Female,0,0,28,United-States,1
19402,young adult,Private,201664,HS-grad,9,Married-civ-spouse,White Collar,Adm-clerical,Other-relative,White,Male,0,0,40,United-States,0
19403,young adult,Private,234640,HS-grad,9,Married-spouse-absent,Service,Sales,Own-child,White,Female,0,0,36,United-States,0
19404,adult,Private,268022,Bachelors,13,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,40,United-States,1
19405,young adult,Local-gov,223267,HS-grad,9,Married-civ-spouse,Blue Collar,Transport-moving,Husband,White,Male,0,0,40,United-States,0
19406,young adult,Self-emp-not-inc,99199,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
19407,young adult,Private,137076,Some-college,10,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,40,United-States,0
19408,adult,Private,313146,HS-grad,9,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
19409,adult,Private,271807,Some-college,10,Divorced,Blue Collar,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
19410,adult,Private,191196,HS-grad,9,Divorced,Service,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
19411,young adult,Self-emp-not-inc,264627,11th,7,Divorced,White Collar,Exec-managerial,Unmarried,White,Female,0,0,84,United-States,0
19412,young adult,Private,183801,HS-grad,9,Divorced,Blue Collar,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
19413,young adult,Private,209227,Bachelors,13,Never-married,White Collar,Prof-specialty,Own-child,White,Female,0,0,21,United-States,0
19414,late adulthood,Private,216208,Some-college,10,Widowed,Service,Sales,Not-in-family,White,Female,0,0,40,United-States,0
19415,young adult,Private,377095,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Wife,White,Female,0,0,40,United-States,0
19416,adult,Private,317535,1st-4th,2,Married-civ-spouse,,Protective-serv,Other-relative,White,Male,0,0,40,Mexico,0
19417,adult,Private,247880,Bachelors,13,Married-civ-spouse,White Collar,Tech-support,Husband,White,Male,0,0,40,United-States,1
19418,young adult,Private,152246,Some-college,10,Never-married,Blue Collar,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,0,0,40,Philippines,0
19419,young adult,Private,428299,HS-grad,9,Never-married,Blue Collar,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
19420,young adult,Private,161708,Some-college,10,Never-married,Service,Other-service,Unmarried,White,Female,0,0,20,United-States,0
19421,young,Private,167859,HS-grad,9,Never-married,Service,Other-service,Own-child,Black,Male,0,0,40,United-States,0
19422,late adulthood,Private,85194,Some-college,10,Married-civ-spouse,White Collar,Tech-support,Husband,White,Male,0,0,25,United-States,0
19423,adult,Self-emp-inc,119471,7th-8th,4,Never-married,Blue Collar,Craft-repair,Not-in-family,Other,Male,0,0,40,?,0
19424,young adult,Private,117683,10th,6,Married-civ-spouse,Blue Collar,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,0
19425,young adult,Private,427744,10th,6,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
19426,young adult,Private,122116,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,45,United-States,0
19427,young adult,State-gov,227931,Some-college,10,Divorced,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,0
19428,adult,Self-emp-not-inc,226497,Some-college,10,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,50,United-States,0
19429,young adult,Private,83783,Bachelors,13,Never-married,White Collar,Tech-support,Own-child,White,Female,0,0,40,United-States,0
19430,young adult,Private,197113,HS-grad,9,Never-married,Blue Collar,Machine-op-inspct,Own-child,Other,Male,0,0,50,Puerto-Rico,0
19431,young adult,Private,204742,Some-college,10,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,44,United-States,0
19432,late adulthood,?,331527,HS-grad,9,Married-civ-spouse,,Other,Husband,White,Male,0,0,14,United-States,0
19433,young adult,Private,213179,HS-grad,9,Married-civ-spouse,Blue Collar,Transport-moving,Husband,White,Male,0,0,60,United-States,1
19434,late adulthood,Self-emp-inc,188260,HS-grad,9,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,16,United-States,0
19435,adult,Private,298161,HS-grad,9,Married-civ-spouse,Blue Collar,Machine-op-inspct,Wife,White,Female,0,0,40,Nicaragua,0
19436,young adult,Private,143774,Some-college,10,Married-civ-spouse,White Collar,Adm-clerical,Wife,White,Female,0,0,12,United-States,1
19437,adult,Local-gov,139296,11th,7,Never-married,Blue Collar,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
19438,young adult,Private,152389,Some-college,10,Never-married,Service,Other-service,Not-in-family,Black,Female,0,0,30,United-States,0
19439,young adult,Private,309974,Some-college,10,Separated,White Collar,Tech-support,Unmarried,Black,Female,0,0,40,United-States,0
19440,young,?,37085,Some-college,10,Never-married,,Other,Own-child,White,Female,0,0,30,United-States,0
19441,young adult,Private,270059,Some-college,10,Divorced,White Collar,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,0
19442,young adult,Private,130045,7th-8th,4,Married-civ-spouse,Service,Other-service,Wife,White,Female,0,0,40,United-States,0
19443,young adult,Private,188038,Some-college,10,Divorced,Blue Collar,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
19444,young,Private,168203,7th-8th,4,Never-married,Blue Collar,Farming-fishing,Other-relative,Other,Male,0,0,40,Mexico,0
19445,adult,Private,171807,Some-college,10,Divorced,Service,Sales,Unmarried,White,Female,0,0,40,United-States,0
19446,late adulthood,Private,186696,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
19447,young adult,Private,177531,10th,6,Divorced,Service,Other-service,Unmarried,Black,Female,0,0,23,United-States,0
19448,young adult,Private,115464,HS-grad,9,Never-married,Service,Other-service,Own-child,Black,Female,0,0,40,United-States,0
19449,young,Private,501144,Some-college,10,Never-married,Service,Sales,Other-relative,Black,Female,0,0,40,United-States,0
19450,young,Private,205894,Some-college,10,Never-married,Service,Sales,Own-child,White,Male,0,0,25,?,0
19451,young adult,Local-gov,203924,Bachelors,13,Married-civ-spouse,,Protective-serv,Husband,White,Male,0,0,45,United-States,0
19452,young adult,Private,91857,Some-college,10,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,41,United-States,0
19453,young adult,Private,229700,Masters,14,Married-civ-spouse,White Collar,Prof-specialty,Husband,Black,Male,0,0,40,United-States,1
19454,young,Private,158704,10th,6,Never-married,Service,Sales,Own-child,White,Male,0,0,20,United-States,0
19455,young adult,Private,190911,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
19456,adult,Private,139176,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,8,United-States,0
19457,young,Private,168693,HS-grad,9,Never-married,Service,Sales,Own-child,White,Female,0,0,25,United-States,0
19458,young adult,Private,250038,Some-college,10,Married-civ-spouse,White Collar,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
19459,young adult,Self-emp-inc,353927,Some-college,10,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
19460,young adult,Private,230248,HS-grad,9,Never-married,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,0
19461,adult,Private,117728,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,44,United-States,0
19462,adult,Private,115851,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
19463,adult,Private,193335,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,1
19464,young adult,Private,203894,Assoc-voc,11,Never-married,White Collar,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
19465,adult,State-gov,157639,Some-college,10,Married-civ-spouse,,Protective-serv,Husband,White,Male,0,0,40,United-States,1
19466,adult,Self-emp-inc,235320,Masters,14,Divorced,Service,Sales,Not-in-family,White,Male,0,0,60,United-States,1
19467,young adult,Private,127686,HS-grad,9,Separated,White Collar,Adm-clerical,Unmarried,White,Female,0,0,37,United-States,0
19468,young adult,Private,28572,HS-grad,9,Never-married,Blue Collar,Handlers-cleaners,Own-child,White,Male,0,0,48,United-States,0
19469,late adulthood,?,91534,Bachelors,13,Married-civ-spouse,,Other,Husband,White,Male,0,0,3,United-States,0
19470,young adult,Private,184687,HS-grad,9,Never-married,White Collar,Prof-specialty,Own-child,White,Female,0,0,30,United-States,0
19471,young adult,Private,267945,Some-college,10,Never-married,Service,Sales,Own-child,White,Female,0,0,16,United-States,0
19472,adult,Private,131899,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
19473,young adult,Private,192614,HS-grad,9,Divorced,Blue Collar,Machine-op-inspct,Not-in-family,White,Male,0,0,56,United-States,0
19474,young adult,Private,186808,Bachelors,13,Married-civ-spouse,Blue Collar,Craft-repair,Own-child,White,Male,0,0,40,United-States,1
19475,adult,Private,44116,HS-grad,9,Divorced,Blue Collar,Craft-repair,Unmarried,White,Female,0,0,40,United-States,0
19476,young adult,Federal-gov,46442,Bachelors,13,Never-married,,Protective-serv,Not-in-family,White,Female,0,0,35,United-States,0
19477,adult,Federal-gov,78022,HS-grad,9,Married-civ-spouse,White Collar,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
19478,young adult,Private,417668,Bachelors,13,Never-married,White Collar,Prof-specialty,Own-child,White,Male,0,0,20,United-States,0
19479,adult,Private,223763,HS-grad,9,Divorced,Blue Collar,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
19480,late adulthood,Private,223851,HS-grad,9,Married-civ-spouse,White Collar,Adm-clerical,Husband,White,Male,0,0,24,United-States,0
19481,young adult,Local-gov,115634,Some-college,10,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
19482,adult,Private,114459,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,40,United-States,1
19483,adult,Private,197093,Some-college,10,Never-married,Service,Other-service,Not-in-family,Black,Male,0,0,20,United-States,0
19484,young adult,Self-emp-not-inc,357145,Doctorate,16,Never-married,White Collar,Prof-specialty,Own-child,White,Female,0,0,48,United-States,0
19485,young adult,Private,59231,Some-college,10,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,42,United-States,0
19486,young adult,Private,292303,HS-grad,9,Never-married,Blue Collar,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,0
19487,adult,Private,122288,Some-college,10,Widowed,Blue Collar,Machine-op-inspct,Unmarried,White,Female,0,0,36,United-States,0
19488,young adult,Federal-gov,52322,Bachelors,13,Never-married,White Collar,Tech-support,Not-in-family,Other,Male,0,0,60,United-States,0
19489,young adult,Local-gov,105830,Bachelors,13,Never-married,White Collar,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,0
19490,young adult,Private,107125,HS-grad,9,Married-civ-spouse,White Collar,Tech-support,Husband,White,Male,0,0,50,United-States,0
19491,young adult,Federal-gov,281860,Bachelors,13,Never-married,White Collar,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
19492,adult,Private,283320,Bachelors,13,Divorced,White Collar,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0
19493,adult,State-gov,26598,Bachelors,13,Divorced,White Collar,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
19494,young adult,Private,220783,HS-grad,9,Divorced,Service,Other-service,Not-in-family,White,Female,0,0,20,United-States,0
19495,young adult,?,121694,7th-8th,4,Never-married,,Other,Own-child,White,Male,0,0,40,United-States,0
